	NONLEV
ايه ده ي ابو الاجناش 	NONLEV
يعني خلاص الشتا خلص و هندخل في الحر و التلزيق و  مش هلبس اللبس اللي مرمي في الدولاب و ملبستوش ده	NONLEV
  قد يأتيك الابتلاء علي هيئة كليه كئيبة معقدة و انت اساساً انسان هايف بيحب الضحك و ملكش في الكلام ده	NONLEV
مكي ده كان ف الزمالك مبيلعبش ب  جنيه و الله	NONLEV
  لما تقرر الانتحار و حتي لو رميت نفسك ف البحر هتلاقي نفسك بتقاوم الموت عشان انت مش عاوز تموتي عاوز الي جواك هو الي يموت 	NONLEV
زي النهاردة  وكنت فاكر اني مش هخلص  عدت سنة كمان  و عرفت فيهم ناس متتعوضشصحبة حلوة  و اعتز بمعرفتي 	NONLEV
  مفيش قلب احن عليك من قلب امك وابوك ولا في حد يخاف عليك قدهم ولا هتلاقي دعوة من القلب غير منهم ️ ربنا ييعد عنهم كل سؤ	NONLEV
حد يكدب عليا كدبة أبريل وانا مستعدة اسامحه 	NONLEV
  لما يعدي ابو حد من صحابنا احنا  	NONLEV
هوب هوب  ايه الجون ده  	NONLEV
انا زي الدنيا مابمشيش ع مزاج حد	NONLEV
انا راضية عن نفسي مليون بالمية مش رح استنا حد يجي يحكيلي رأيو فيا 	NONLEV
بعدين انا عايزه افهم سبب رفضك للقانون شنو يعني لي مضايقك	NONLEV
  خش عليا ب شهر  يمكن الأمل فيه 	NONLEV
ايه الخرا ده	NONLEV
بوف  ابو الفتوح ده زفت	NONLEV
احا على ده هدف بتاع سموحة	NONLEV
يالهوي يا مكي ايه يا جنش ده 	NONLEV
  ولاه ولاه بص شوف مين جنبك 	NONLEV
  المسأله دي عايزه تدخل جراحي	NONLEV
  الاعلان دا فرتك جبهة البنات خالص يا جدع  	NONLEV
ايه الجول ده 	NONLEV
  إنت مش بس تستاهل تتحب	NONLEV
عاوز نعمل لاي دوا  او لاي ماده او دوا  والسلام عليكم ورحمه الله وبركاته 	NONLEV
  احا مكي ده ولا ده النت	NONLEV
كلهم زي الخرا بس في منهم أمل إلا المتخلف ده	NONLEV
  سيم انا عماله اركز ومش فاهمه هو مدينا ظهره طب وايده جت الناحيه التانيه ازاي وهو اللي بيغرق ده ولا مين 	NONLEV
في ناس أقسم بالله محتاجه أقولها أنتوا مش محتاجين شهر أبريل يجي علشان تكدبوا	NONLEV
بس كان عندي سؤال سريع مزنوق فيه بصراحة عن الرواية لو مش هعطل حضرتك طبعاً	NONLEV
الكورة حالفة ما تدخلش و مش عارف كوستا عايز ايه تاني عشان يجيب جول بصراحة	NONLEV
  ايه ده بتبوس ايدي  هو انا ولدتك  	NONLEV
اية الجون دا 	NONLEV
  وانا مش هحكي عليك ده لأنك  يا صغير انا اكبر منك 	NONLEV
وهو لما تظلم الناس بالطريقه دي عشان ال  بتاع حضرتك اللي زي زفت انت فاكر كده انك هتاخد الجوده يعني	NONLEV
  حاول ماتبقاش عبئ علي أهلك علي أد ماتقدر  الأيام دي الظروف صعبة جداً 	NONLEV
