	LEV
ما في انكد من انك تيجي ع حالك وتصحا بكير مشان تحضر محاضرة وبالاخر ما بتلحقها 	LEV
  كيف بدك تصير تفهم و انت بتعمللها لايك ع اشي ضد مبادئك بس عشان صورتها عجبتك  	LEV
سدّ بأعالي جبل لبنان؛ بتعرفوا شو اسمه 	LEV
عشانك شبيح خوينا اعتذر لك	LEV
شو بخاف دق عليك ومالاقيك شو بخاف بنص الليل ماحاكيك	LEV
لو بيسكّر بوزروو بقى لعمى بقلبوا ما ضجر وما فهم انّوا ما حدا بالبّلد تايقوا لعمى شو انّو حمار بس كل عمرو هيك ريكوو	LEV
شو مين ماخذة  رجل من  كاليفورنيوم مقنطر بال  بولونيوم	LEV
قولتك لازم يكون معي الوتد   خلص بجيبه احتياط الواحد ما بعرف شو بصيرله	LEV
يعني لولا ما هالدكتور بدو يفصلني كان هسا انا بعمان اوفت	LEV
  فانز نانسي شو عملو بفانز إليسا جلادين 	LEV
وقت تصحى وبقلبك معبا شوق  مافيك تعمل شي غير انك توزعو هون و هون مشان ما يقلب عليك بس مشكلة خاف ينفهم غلط   انو لهل الدرجة كبير الشوق الك	LEV
  بالزمنات كان الحب للشجعان الجبناء تزوجهم امهاتهم حاليا الحب للي معو مصاري  الشجاعة بتعرف شو تعمل فيها هلوساتمسا	LEV
  صبااح الخير والحب سكسيه للتواصل معى فوت هون  زوجه بدويه  وقافى 	LEV
  بغض النظر انو فضولي قتلني شو عم تحضرو  بس اللون الكحلييليقبك  	LEV
  اله ايوا فرجيهم شو يعني محبوبالعرب والملايين الله يزيدهم ويحماك يعقوبشاهين	LEV
  الحريةلأحمد  لما كان التيار الوطني خارج الحكم كان يطالب بحرية التعبير لما صار ب الحكم صار يسجن الناس كرمال بوست ع 	LEV
  هسى في ذمتك دى خلقه زول عندو قروش لصاله وعشاء وحفله بطه سليمان   	LEV
لك منيح طلعوا سمعانين بالقدس 	LEV
  رتويت يا مطيع ل ثلاثينيه للتواصل معى فوت هون  مطلقه سكسيه  مكوة 	LEV
  برضو نفس ما حكت هديل الجملة الصباحية لكل يوم احد لما اطلع ع مؤتة    	LEV
  كل شوي يسألوني شو تغير في وشو صرلي عنن يختفي  عمبتعلقفيك 	LEV
مش قادره اكل اشي بتعرفي هاد الشعور الي تشوفي اكل او بدك تاكلي بتصيري بدك تستفرغي  الـ 	LEV
تورطت وصرت عربي العمى على سنة هالحياة شو بتخزي	LEV
  انا عم بلش حبك انا️ 	LEV
  نظراته الحزينة مو طبيعي شو معبره  	LEV
 تؤبرني توني  الحمدالله انك مو لبناني	LEV
  ع فكرة ما في ولا ام بحياتها حكت لبنتها هيك و مستحيل اصدق  مش عارفة انه لهالدرجة الشباب ماكلين بحالهم مقلب و مفكر 	LEV
حدن بيعرف نحنا شو منستفيد بِ بلاد الأرز بً تقديم وتأخير الساعة كل ستة أشهر صباحو	LEV
شو نفع نقدم الوقت ساعة  وسياسيين هالبلد عم يرجعوه سنين شو نفع نقدم الوقت ساعة  والاعلام وبرامج 	LEV
معقول الجو شو حلوو 	LEV
شو أحسن نظام 	LEV
  وشموهبتك  الله وكيلك كلي مواهب عاد مدري شو اكتب وشو اخلي واحلى موهبه الــ	LEV
شو صحاني عل  و انا معطلة	LEV
بلش الصيف يلا نجهز موسم البحر  	LEV
  عاارفين  شو يعني تماام  يعني بلاوي الكوون في بس ما في گلاام 	LEV
طيب بلكي هو سارقها كمان 	LEV
هاي  شو بتقربلك	LEV
فلاش شو تعني	LEV
  اوامرملكيه وشموهبتك  نفسي اعرف شو موهبتي بالحياة   غير الأكل طبعاً   صباح الدوام والتفائل ️	LEV
  اليوم عطيت عمو ختيار قداحه قام قللي اهم شي بالحياه الحب و حساب بالبنك غير هيك ما في شي بيهم	LEV
  شو حلوة كلمة نجوىكرم وهي عنجد هالقد لبنانية  	LEV
بدك ياني بعلمك كيف	LEV
لحمة شو يعني لحمة	LEV
  على شو  جوليا بطرس  	LEV
هلتعلم إنن كلهم متل بعض وما تشد ع معدتك كرمال حدا	LEV
هجرك بيحرقنا لكن شو بنقلك بدك تفارقنا الله يسهلك	LEV
اذا هلأ بدّعت  ابصر شو راح اعمل على امتحان ال 	LEV
  فيروز تذكرتك ياعلياء  وتذكرت عيونك  يخرب بيت عيونك ياعلياء شو حلوين 	LEV
شو قلت	LEV
شوق عظيم لـ هون 	LEV
يما اعطيني مصاري بدي اطلع مع صحابي يما يا حبيبي معيش مصاري؛ والله يرضى عليك بلاش تطلع الليلة يا الله يما 	LEV
هيدا الحكيم شو بفهموا ما شي هيدي المشكلة  	LEV
  ليشنازلتتظاهر لأنو بـ زمنالمقاومة  صار ساميالجميليمثلني وهوي بفهمك شو دورككمواطن سوشيالفلسطين 	LEV
 شبيح من قمحانة يقاتلون تحت صباط الخسيس الذي يعتمد عليهم اكثر من العلويين لا يوجد نقيصة من اجرام وسلب ونهب وقتل الا وا	LEV
شو هيدا	LEV
ايري بالعرب شو حمير	LEV
شو نوعه بنج الأسنان اللي بيضل تأثيره لتاني يوم 	LEV
ولا أنا ما قدرت يعليهن  الله يستر  بلكي بلحق محاضرة الساعة  	LEV
العراق بلكي	LEV
كس امك شو حمار	LEV
انداري 	LEV
  شو حلو الزمان يجمعنا ونقول  ماعاد في نسيان ونلتقي عطول  “  ” 	LEV
يعني انداري  	LEV
جيبولي سيارة مشان الانبياء  	LEV
  شو بخاف دق عليك ومالاقيك شو بخاف بنص الليل ماحاكيك	LEV
