هلأ لحتى حسّوا إنه الوحشية بالآخر بتوصل الكل	normal
المدعو جبران باسيل موالي أكثر من الموالين ذهب مرتزقه من قبلك و ستذهب معهم إلى مزبلة التاريخ 	abusive
قال رح يطلعوا على ادلب الله يكون بالعون	normal
غصب عن شوارب الكبير والصغير من التابعين للخارج ومن الحرامية بهالبلد  صارت بمن حضر وبأمر من الوزير الآدمي اللي بك 	normal
هيش هيش 	abusive
يا كلب انت كلب مجوسي لا تحكي عن الإنسانيه	abusive
ليه بتحب تجيب البهدلة لحالك	normal
لا أحد يواجه العرب غير أسيادك في طهران و الشام 	normal
لله درك شد عليهم ولا ترحمهم الخونه	normal
مساؤكم ورد وفل 	normal
السياسي الوِسِخ بعين جماعته حربوق	abusive
النزوح يا اخوان اللجوء يا جماعة الخلفة ماشية ولا من يسأل للامانة جبران باسيل وحده لولب القصة في كل المحافل	normal
لو بتعرف ربك ، لقضيت بقيت حياتك عبادة وإستغفار وطلب السماح عله يتقبل منك وانت المثقل بدماء الابرياء والتخطيط للفتن ونشر الاكاذيب ، شو بدك بعمر المختار شتان بين الثريا والثرى	normal
صح كما انتي عميلة صهيونية حلفاء سوريا حلفاء بكل معنى الكلمة يا حية تضربي انتي وحكيك	abusive
الله يقويك ويحميك معالي الوزير جبران باسيل	normal
سلامتك يا قلبي انشالله هو 	normal
كول هوا بليز	abusive
الكلاب تنبح والقافله تسير الله يحميك يا رمزا للشرف والكرامه والاباء 	normal
ارجوك وقف تمسيح جوخ يا اخي 	normal
كنا نتمنى أن تأتي هذه الصحوة قبل تدمير البلاد العربية الشقيقة وقتل مواطنيها وتهجيرهم 	normal
ما لقيت جملة بترد على تغريدة الوزير الذمي جبران باسيل أكتر من هل جملة لي قالها البطريرك مار نصرالله بطرس صفير الحرية 	normal
مش عاجبك شي 	normal
يعلن الأسد وكل لاعقي الاحذية	abusive
كلنا معك يا بطل هيدي هيي الرجوله بيضل عموقف واحد مش بيبروم ليحمي حالو ومصالحو اتعلمو من وئام وهاب الشرف 	normal
هاد سعودي ، وانت خليك بحالك يا سوري ولا انت تقليد سوري	normal
رح تظل ايران شوكة بعينك يا صبي 	normal
يللا بسيطة المهم خسارتنا مشرفة	normal
جبران باسيل هو كلب نابح للإيرانيين ولا تهمه مصلحة لبنان مثله مثل رئيسه ميشيل عون	abusive
بتطلع ستين خنزير يا رافضي يا مجوسي يا عباد القبور لعنة الله عليك وع معلمينك الخميني وخامنئي ونصرالشيطان والسكستاني اتفو	hate
فتاوي القتل والتخريب لن تنال من العظماء 	normal
يعني انت شو بتفرق عن العميل بس فرق بين تكون قائد وعندك عملاء وبين تكون طرطور وطبل مفقوع عند مشغلينك 	abusive
عاجل شرموط مجرم حرب يزور شرموط مجرم حرب تاني متله	abusive
سوف يتحاسبو جميعالان الحق سلطان 	normal
فرق كتير كبير بين الرئيس ميشال عون وبين جبران باسيل  الرئيس بتشوف بوجه نوع من الحب والتعب أما جبران ما بت 	normal
لأنك طول عمرك غبية ه	abusive
جبران باسيل الرجل الذي لا ينام قدن كلن	normal
مشكلة جبران باسيل انه يخلط لا بل يبدي مصلحته الشخصية السياسية الوصول الى الكرسي الراءسي باي ثمن منتعلا جزمتي حسن وبشار	normal
كم نحتاج لشرفاء أمثالك حتى يكون لهذا الوطن عز وأمان 	normal
استاذ وئام انت رجل كبير ولك تقديرك ما نحب ان نجرحك بكلمة بس سيدي لي سؤال ايش حشرك في دول أخرى 	normal
شهم 	normal
الدولة اللبنانية وأقطابها تريد إزالة إسرائيل من الوجود ولا تريد السلام العادل والشامل ولا مبادرة بيروت ولا تريد اتفاق	normal
مش جايي لعندك و على دولة الخلّفك و فيك تفل إذا مش عاجبك 	normal
ليك مين عم يحكي عن الفيميه وتسهيل المرور وعلي الأمين وقع ع الدرج	normal
كل الاجلال والاحترام الأوفياء بيتذكرو كرم اهل دمشق دمشق احتضنت اللبنانيين في محنتهم والعراقيين والفلسطينيين 	normal
حشرة سودانية إخوانية مهمتك نشر الكذب و العهر حذاء ايراني تموله قطرائيل	hate
كلو اخرا من بعضو بس ما حدا اخرا منك ومن بشار فكر فيها 	abusive
بدنا وحدة عبشار الأسد بس الخنازير يكونوا وحدة ميشيل عازر وحدة وليد المعلم وحدة لافروف ووحدة بوتين	abusive
 حملة مسعورة يقودها قواتيون ضد التيار الوطني الحرّ، بدعم من تيار المستقبل والاشتراكي، بسبب دعوة الوزير جبران باسيل لعودة سو	normal
بدك تحرري القدس يا ديما؟ بالسكربينة كعب عالي	normal
دخلِك يا زميلتي ، مش حضرته لرفض يسلّم حاله للدولة ؟ وتوفي شاب فداه؟ 	normal
هل يجوز أن تبقى دولة يقودها مجنون هو يوسف القرضاوي يفتي لها بالقتل والتخريب وهي تدفع لتنفيذ فتاوى هذا المجنون الذي  	abusive
اذا بيقولولك ما بينضهر ليلة راس السنة لكين مين كل هول يللي بيكونوا عاملين كل هالعجقة السير	normal
كلكم مين متل الغنم ، كل الشعب اللبناني أو فئة معينة	normal
نرجوا من جميع محبين الدوله واللواء عثمان عدم الرد على هذا الموتور حتى لا يعطى قيمة اكبر من حجمه وشكراً 	normal
عندما تباع الأحذية خلف الزجاج في محلات مكيفه، بينما تباع الكتب ع الأرصفة، عندما تستبدل العقول بالأرجل فعلى البشر السلام  	normal
جبران باسيل عليه اللعنة	abusive
هلق شفتي اخوة ناجحين بكفائتن وما عجبك بس ما شفتي انه هيدي اول مبتراة بينجح فيها مسيح 	normal
جبران باسيل ممكن يبيع البلد كرمال مصالحو الخاصة	normal
الدعم من قبل المنظمات الدولية والعربية، للنازحين،يجب ان يكون لتحفيزهم على الرجوع، والمبدأ الذي اقر في القمة الإقتصادية، ب	normal
شو محشش هيدا	normal
السنّة مفهوم، بس الشيعة ليش؟	normal
