Text,Label
الوزير جبران باسيل تاج راسك يا جربان ممنوع بعد اليوم المساس بمقدساتنا من ربنا والهنا يسوع المسيح,Non_HS
وليد جنبلاط كاتب الحكمة يا قذر ,Non_HS
شو بتلبقلك كلمة خنزير بتجي مفصله على قياسك وشكلك    ,Non_HS
صافي يا بقر,Non_HS
لا تعتب عليه هيدا اسمه ابو صرماي ,Non_HS
لو الدولة تحترم نفسها كان انت يالبلطجي في السجن ,Non_HS
قنبلة ذزية يروحو فيها الاثنين معا افضل حل ,Non_HS
لا شرطي روسي يا ابن الستين كلب,Non_HS
ليش بتنطرب وبتسكر لمن بتجيب سيرة الحذاء يا زلمي مع إن كل واحد بفش خلقو ع ذوقو حسب مفهومو ثقافتو وعقلو… ,Non_HS
نص اللبنانيي من رأيي انتِ يا رمز الغبا ههههههه,Non_HS
يا عيب لشوم عليك يا كركوز ,Non_HS
سمج سميك زنخ كمخة,Non_HS
عزيزي وئام هل يجوز نهاد ان يتركك حرا ام يجب سجنك يا بوق الفتنة ,Non_HS
نتمنى من فخامة الرئيس متابعه هذه القضية ف عماد عثمان مجرم ,Non_HS
قليل بحقه الحذاء ,Non_HS
كول هوا يا خنزير الخنازير الصهاينة نهايتهم للدعس تفه,Non_HS
انشالله عن قريب لازم بقى ينشد هالفار وينرمى بشي زريبة ,Non_HS
جبران باسيل رجل شرّير,Non_HS
عاهر بكلامو بس معلمك شو        ,Non_HS
عقبال يغرقوا التنين بالمجارير,Non_HS
انشالله يضلل حصرمة بعينك وعين غيرك جبران باسيل قرفت سما الله تبعنا انشالله بضلل مقهور وبضلل جبران با…,Non_HS
كول هوا ابو وجهك,Non_HS
عم أحكي عن الجعفري يا بهيمة نظام الجعفري قتل نص مليون وهجّر نص الشعب حرفياً لأنه طلعوا مظاهرات ضده وبعدين بتقلي إني أنا يلي ما بفهم بآداب الحوار؟ بهيمة بتجيب المسبة لحالها شو بدنا نقول 🤷🏻‍♂️😂,Non_HS
بالرغم من صفاقة جبران باسيل وكلامه الثقيل الذي لا يمثل سياسة لبنان الرسمية ولا يمثل اكثرية الشعب اللبناني الا ان العتب…,Non_HS
"كثروا المنافقين اصحاب المصالح   هاذا اكبر كلب لأيران في لبنان ، تابع هالفديوا وتعرف هالمرتزق … ",Non_HS
اكل الهوى للواطي دواء الله يشفيك ,Non_HS
"اباقاش تسكت وله ، اسكت يا قرد العقاب لوهاب وهاب قاتل ابو دياب ",Non_HS
للاسف لدينا في الخليج بعض من الكتاب والدكاتره والمحللين كالبغال والجحاش ينهق ويهرف بما لايعرف ,Non_HS
وقت تشوفوا و تسمعوا جبران باسيل متل لما الشيطان يسمع كلام الإنجيل,Non_HS
أحقر جريدة بل الوجود,Non_HS
رزق الهبل عالمجانين آه يا هبيلة ,Non_HS
خلعتك ضربة ع وترك الحساس تا فعت هالفوعة؟؟؟ ههههه الله يشفيك يا حمار يا زبالة,Non_HS
ولك استحي بقى ما في عا لسانك الا سوريا ,Non_HS
وشو بتحب نقلك يا تافه,Non_HS
ضيعان الفهم يا دكتور ؟؟,Non_HS
وليد جنبلاط يتحدث عن الشيطان الاكبر والشيطان الاصغرالظاهر نسي يذكر انو هو ابو الشياطين كلها ,Non_HS
"قطر اختلفت مع كل المحيط العربي لأنو تحالفت مع حليفك الخامنئي ، حليف حليفك يعني حليفك كيف سياستكن يا شياطين ما بعرف ",Non_HS
يا بلا مخ يا حيوان في الاف بقطر عم يسترزقو مش كرمال يجي راحد متاك صرماية يعمل خلاف روح نقبر ضب زعرانك ع… ,Non_HS
يا عمي هيدا الزلمي جاهل,Non_HS
العاهر الكبير عون…,Non_HS
وانت وبيك شو حقك فرنك فرنسي يعني ولادولار ,Non_HS
ما هوي لو بياكل سرماية بعيد عنا بقول يعدمني يا فكروا اذا بصرخوا صوتهن بيوصل   ,Non_HS
يحمار انت والحبتور كنتو مجتمعين في باريس قبل سنه في فندق الريتس ممكن تحكيلي كم دفعلك؟؟ ,Non_HS
