New row: [' اللهم أني أسألك مسألة البائس الفقير وأدعوك\xa0دعاءالمفتقر الذليل لا تجعلني بدعائك ربي شقيا و ڪن بي رؤفاً رحيما يا خير المسؤولين يا أڪـرم المعطين يارب العالمين..<LF>اللهم إغفر للمسلمين والمسلمات والمؤمنين والمؤمنات الأحياء منهم والأموات.', 'NOT_OFF', 'NOT_HS']

New row: ['جيتك يا رفيقي يا رفيقي <LF>كنه المطر يوم هلتّه .. ♥️♥️', 'NOT_OFF', 'NOT_HS']

New row: ['@USER @USER ايش دخل المبايعة والسمع والطاعة يا هطف يا ثور الله في ارضة😏', 'OFF', 'NOT_HS']

New row: ['RT @USER: @USER يا مسعود يا بول البعير......لك يا تافه .....علي هاشم مواطن من الجزيرة العربية.....هو ضيف عزيزي ....وهو في لبنا…', 'OFF', 'NOT_HS']

New row: ['RT @USER: والله العظيم الواحد عنده حالة قرف وهايتجنن من الكائنات اللي عايشة وسطينا! ضيق أفق وعَمَى قلب وبصيرة! يا تمشي على هواهم يا ت…', 'NOT_OFF', 'NOT_HS']

New row: ['RT @USER: حبيبتي<LF>ماذا أقول <LF> يا تاج النساء<LF> يا سحر النساء<LF> يا فتنة النساء<LF> يا كوكب النساء أنت ِ<LF> يا شمس النساء<LF> يا عطر النساء<LF> يا أجمل ا…', 'NOT_OFF', 'NOT_HS']

New row: [' يا مُكعب السُكرَ يا زمُردي الأحمر و يأسريُ الأكبَر يا فتنتِي العميَاءُ وَ يا عشقِي الأكَبر أحبك, أحبك جداً يامحبوبتي URL', 'NOT_OFF', 'NOT_HS']

New row: ['يا هَلابك يا عَذابي يا هَلا .', 'NOT_OFF', 'NOT_HS']

New row: ['R']

New row: ['RT @USER: يا جماعه بحبها يا جماعه😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂❤❤ URL', 'NOT_OFF', 'NOT_HS']

New row: ['أحب أني ما أتقارن بأحد ولا عمري كنت مع أحد بنفس الكفه يا أكون الكل يا ما أكون بحياتك .', 'NOT_OFF', 'NOT_HS']

New row: ['@USER يا عيني يا شوق القتل العمد جزاه القصاص الا اذا عفو عنه اهل المقتول بذي الحاله تشرع الديه. اذا اهله! اهل المقتول عفو عن اللي قتل ولدهم تلومون عشيرة القاتل واهله يوم يساعدون ولدهم؟ وبعدين الموضوع صار عليه ١٩ سنه بكبر ابوي الحين اكيد تاب وسمعت انه', 'NOT_']

New row: ['RT @USER: @USER ممكن نعرف دينتك يا دكتور يا متعلم يا فاهم حقبة وراح تعدي !!!!! كيف يعني اجل الحقبة الي بعدها كفار لا يصلون ولا شي…', 'OFF', 'NOT_HS']

New row: ['@USER يا عمريي يا العشرينيية والله 😂😍🧡<LF>العمر كله وانت بخيير وبكل سعادة يارب 💕💕', 'NOT_OFF', 'NOT_HS']

New row: ['@USER @USER يا درب غيوم يا عمر بحاله ضيعته <LF>يابحر هموم حبيبي رااااح ما ودعته URL', 'NOT_OFF', 'NOT_HS']

New row: ['@USER سمعني صياحك ولا اقولك سمعني زنك يا زنان .. انت مجرد حشره تزن يا زنان يا حشره ... لك من اسمك نصيب يا زنان .....', 'OFF', 'NOT_HS']

New row: ['يا رب اتخرج بسرعه يا رب اتخرج بسرعه يا رب اتخرج بسرعه يا رب اتخرج بسرعه', 'NOT_OFF', 'NOT_HS']

New row: ['RT @USER: يا ناس شفته حلاوته يا ناس @USER @USER URL', 'NOT_OFF', 'NOT_HS']

New row: ['هالكورس يا أرقع إللي صار يا أكمل المصخرة الي سويتها.', 'NOT_OFF', 'NOT_HS']

New row: ['مستوى عبد الله جمعه مذهل ما شاء الله يعنى .. الولد مفيش غلطه ما شاء الله ال 90 دقيقه .. حتى الكور العاليه المشتركه بيطلع ياخدها كمان ما شاء الله .. عشت يا عبد الله يا راجل اوى .. ربنا يباركلك فى كل قرش بتاخده يابنى', 'NOT_OFF', 'NOT_HS']

New row: ['@USER ما تشوفلى عروسه طيب يا بسام يا اخويا انا عايز اتجوز', 'NOT_OFF', 'NOT_HS']

New row: ['فيني صداع مو وقته و عندي دوام و يعتبر هاليوم من اهم ايام الدوام <LF>يا رب يسر يا رب سهل يا رب يا رب', 'NOT_OFF', 'NOT_HS']

New row: ['<LF>من المظاهر المؤسفه ان الاب والام <LF>يقعدون يتهاوشون على اسم يسمون<LF> به ولدهم وفي النهاية<LF> تعال يا حمار وين كنت يا حمار😂', 'OFF', 'NOT_HS']

New row: ['RT @USER: @USER يا حزن الحزن يا محى 😂😂', 'NOT_OFF', 'NOT_HS']

New row: ['تجمع المهنيين ما بمثلك ؟؟! <LF>خلاااص يا نيلسون مانديلا .. يا لوثر كينغ .. يا غاندي .. يا افلاطون ..<LF>خط الثورة ده كان سايقو تيراب الكوميديا ... <LF>#إعتصام_القيادة_العامة', 'NOT_OFF', 'NOT_HS']

New row: ['@USER @USER لا مفهمت يا بدوية يا بنت الشيوخ يعني كل السعوديات الي هربو فشلو وينظفو حمامات في الي نجح واسس حياتو وفي الي واصل درستو فشل شخص مو فشل الجميع ياليت يابدوية تفهمي تنويه صغير ليش مغيرة اسمك وحطى اسم اباحي ليه انت مستعارى من اسمك ', 'OFF', 'HS']

New row: ['يا سلمى يا سلمى يا راضي يا راضي يا ندى يا ندى😭😭 — ههههههههههههههههههههههههههه وات هابنز ان فيغاس ستيز ان فيغاس ارجوكم URL', 'NOT_OFF', 'NOT_HS']

New row: ['يا احلى منهم يا فارقة عنهم انتي اللي فيهم 🤷\u2066❤️<LF>ايه في ايه ؟ <LF>كل سنة و انتي في حياتي يا كل حياتي يا نصي التاني يا قمر انتي يا قمر 💋💋💋 URL', 'NOT_OFF', 'NOT_HS']

New row: ['RT @USER: @USER يا بشاشة روحي يا سُروري 💙', 'NOT_OFF', 'NOT_HS']

New row: ['@USER منور يا زملكاوى يا غالى يا محترم يا أفضل محللى العرب.يا حبيب الملايين', 'NOT_OFF', 'NOT_HS']

New row: ['@USER اسيل يا خرا يا تذاكري ي ادق عليك !!!<LF>لا تخليني معلقه كذا!!', 'OFF', 'NOT_HS']

New row: ['RT @USER: @USER وانتي طيبه يا عائشه يا رب <LF>يسلملي ذوءك يا رب 🌹🌹🌹🌹🌹', 'NOT_OFF', 'NOT_HS']

New row: ['يا جميــل العينيـن يا نجمــي الحلو🌏💙!.', 'NOT_OFF', 'NOT_HS']

